Location,Area (sqft),Bedrooms,Bathrooms,Parking Spaces,Age of Property (years),Floor,Total Floors,Furnishing,Property Type,Nearby Metro (Y/N),Price (Lakhs)
Sarjapur Road,3278,2,1,3,3,10,10,Fully-Furnished,Independent House,Y,198.49
Koramangala,3149,2,4,0,1,1,2,Unfurnished,Apartment,Y,167.62
Rajajinagar,662,1,4,0,25,5,6,Semi-Furnished,Independent House,N,28.05
Kengeri,4493,1,4,2,22,5,5,Fully-Furnished,Apartment,N,254.03
Electronic City,2455,2,4,3,4,3,5,Fully-Furnished,Apartment,Y,176.31
Sarjapur Road,2741,5,2,0,30,2,2,Fully-Furnished,Independent House,N,110.68
Indiranagar,2409,5,5,1,6,4,5,Fully-Furnished,Apartment,Y,144.55
Jayanagar,4061,4,3,0,12,3,4,Unfurnished,Apartment,N,212.29
Electronic City,4914,4,4,3,25,2,9,Semi-Furnished,Independent House,Y,322.61
Sarjapur Road,1033,1,3,1,22,9,10,Fully-Furnished,Independent House,N,81.08
JP Nagar,815,4,5,3,2,1,1,Semi-Furnished,Independent House,N,47.94
Jayanagar,1003,4,2,2,25,5,7,Fully-Furnished,Apartment,N,53.68
Ulsoor,1494,5,2,3,27,1,8,Semi-Furnished,Independent House,N,116.85
Hebbal,3811,4,3,0,16,3,6,Fully-Furnished,Independent House,Y,254.8
Bannerghatta Road,1071,5,2,1,15,7,8,Unfurnished,Apartment,Y,47.56
Indiranagar,1936,4,5,3,25,2,3,Unfurnished,Independent House,N,184.44
Marathahalli,3642,5,2,3,20,5,9,Semi-Furnished,Independent House,N,178.99
Koramangala,671,2,1,1,28,9,10,Semi-Furnished,Independent House,N,35.02
JP Nagar,3449,1,2,2,0,4,6,Fully-Furnished,Apartment,N,191.33
Electronic City,4839,4,2,1,6,6,8,Unfurnished,Independent House,Y,381.63
Rajajinagar,3400,2,4,0,22,2,4,Fully-Furnished,Independent House,Y,162.02
Koramangala,727,4,3,0,8,2,3,Semi-Furnished,Apartment,Y,62.71
Basavanagudi,3246,3,2,0,13,2,6,Semi-Furnished,Apartment,N,257.69
Yelahanka,2613,4,5,3,13,1,2,Unfurnished,Apartment,Y,157.92
Jayanagar,1710,4,4,3,1,3,3,Fully-Furnished,Independent House,Y,162.8
Basavanagudi,845,4,2,1,7,4,8,Fully-Furnished,Apartment,N,47.18
Whitefield,1882,1,3,0,1,2,2,Fully-Furnished,Apartment,Y,128.33
Malleswaram,3151,3,5,3,1,2,2,Fully-Furnished,Apartment,Y,227.98
Indiranagar,4134,4,3,3,19,4,7,Semi-Furnished,Independent House,Y,392.61
Indiranagar,968,1,3,0,5,2,5,Semi-Furnished,Independent House,N,62.86
Whitefield,1895,2,1,3,30,4,4,Fully-Furnished,Apartment,Y,101.11
Whitefield,2791,3,2,1,18,1,3,Unfurnished,Apartment,N,183.96
Bannerghatta Road,788,4,2,1,2,2,8,Unfurnished,Independent House,Y,41.88
Marathahalli,3267,3,4,0,17,4,4,Fully-Furnished,Independent House,Y,215.42
Yelahanka,1526,3,3,2,2,4,4,Semi-Furnished,Apartment,N,82.09
Malleswaram,4093,4,1,2,24,2,3,Semi-Furnished,Independent House,Y,269.63
Yelahanka,2309,1,3,0,5,1,5,Semi-Furnished,Independent House,N,120.16
Sarjapur Road,4535,2,5,1,5,2,9,Fully-Furnished,Independent House,N,285.32
Electronic City,2055,4,1,0,11,3,4,Unfurnished,Independent House,N,115.77
JP Nagar,1235,4,1,0,15,4,10,Unfurnished,Apartment,Y,83.73
Ulsoor,2401,5,5,1,14,2,3,Unfurnished,Independent House,N,166.12
Basavanagudi,808,3,2,0,26,3,10,Fully-Furnished,Apartment,Y,54.58
Bannerghatta Road,1994,4,5,0,7,8,9,Fully-Furnished,Independent House,Y,82.24
Malleshwaram,2648,2,4,3,21,3,8,Fully-Furnished,Apartment,Y,221.38
Bannerghatta Road,1553,2,5,0,7,7,10,Unfurnished,Independent House,Y,78.69
JP Nagar,617,5,2,0,25,1,1,Fully-Furnished,Apartment,Y,44.41
Jayanagar,831,4,2,3,30,3,7,Semi-Furnished,Apartment,N,62.36
Hebbal,4022,5,5,1,17,1,8,Unfurnished,Independent House,N,252.27
HSR Layout,1265,1,1,1,7,2,4,Unfurnished,Apartment,Y,63.49
Ulsoor,731,2,3,3,17,9,10,Semi-Furnished,Apartment,N,48.31
Bannerghatta Road,4041,1,2,0,14,7,8,Unfurnished,Apartment,Y,314.91
Whitefield,4628,5,4,2,1,3,8,Fully-Furnished,Apartment,N,217.84
Basavanagudi,3328,4,5,0,30,2,5,Fully-Furnished,Apartment,N,157.22
Electronic City,929,4,3,1,19,2,4,Semi-Furnished,Independent House,Y,44.9
Bannerghatta Road,4275,2,2,1,17,7,7,Fully-Furnished,Apartment,Y,208.87
Sarjapur Road,2584,3,4,2,15,1,2,Semi-Furnished,Apartment,Y,162.19
Marathahalli,1059,2,3,2,8,3,6,Semi-Furnished,Independent House,N,80.23
Electronic City,4236,4,2,0,5,1,1,Unfurnished,Apartment,Y,262.7
Electronic City,4101,4,2,0,21,2,9,Unfurnished,Apartment,Y,201.42
Yelahanka,3160,4,2,0,22,2,10,Semi-Furnished,Apartment,N,249.29
Malleswaram,861,2,3,1,21,4,5,Unfurnished,Independent House,Y,35.2
JP Nagar,3549,2,2,2,4,1,5,Semi-Furnished,Apartment,N,248.22
Malleshwaram,2734,5,3,1,10,1,1,Unfurnished,Apartment,N,271.87
JP Nagar,3552,1,3,1,16,1,4,Unfurnished,Independent House,N,279.95
Koramangala,1379,5,5,0,10,1,2,Unfurnished,Apartment,N,111.08
Sarjapur Road,4627,1,2,3,8,1,6,Unfurnished,Apartment,N,302.7
Koramangala,4527,3,4,2,2,6,7,Unfurnished,Independent House,N,450.73
Sarjapur Road,3486,4,5,3,7,4,8,Semi-Furnished,Apartment,Y,197.05
Bellandur,3098,1,3,2,19,1,7,Fully-Furnished,Independent House,N,171.29
Whitefield,1092,5,3,3,8,1,1,Semi-Furnished,Independent House,Y,45.69
Bellandur,934,3,1,2,10,1,1,Unfurnished,Apartment,N,69.58
Hebbal,3312,2,2,0,22,1,6,Fully-Furnished,Independent House,N,141.99
Jayanagar,4575,4,4,0,6,6,8,Semi-Furnished,Apartment,N,460.88
Sarjapur Road,1255,1,4,3,30,8,8,Semi-Furnished,Independent House,Y,67.37
Malleshwaram,3135,5,4,3,9,7,8,Unfurnished,Independent House,Y,219.22
JP Nagar,2876,5,5,3,4,7,8,Unfurnished,Independent House,N,177.8
Hebbal,4650,4,4,0,5,8,8,Semi-Furnished,Apartment,N,354.4
Sarjapur Road,2949,4,3,3,24,2,3,Semi-Furnished,Independent House,N,222.04
HSR Layout,1772,5,3,3,3,4,6,Unfurnished,Apartment,Y,126.4
BTM Layout,4286,5,3,0,1,1,5,Semi-Furnished,Independent House,N,328.05
Malleswaram,2593,5,3,0,7,4,4,Semi-Furnished,Apartment,Y,166.57
Bellandur,2197,2,2,2,13,1,4,Unfurnished,Apartment,N,99.38
Indiranagar,789,1,2,3,2,1,1,Unfurnished,Independent House,N,59.72
HSR Layout,3018,5,1,3,15,6,10,Fully-Furnished,Independent House,N,231.63
JP Nagar,1328,3,2,1,24,2,8,Fully-Furnished,Apartment,Y,82.42
Kengeri,2562,4,1,3,13,1,2,Unfurnished,Apartment,Y,183.65
Yelahanka,2038,4,1,3,27,2,2,Fully-Furnished,Independent House,Y,85.82
Rajajinagar,2431,2,2,0,7,6,6,Semi-Furnished,Independent House,N,103.38
Malleswaram,4817,5,1,2,14,8,10,Fully-Furnished,Apartment,N,223.68
Malleshwaram,3659,3,1,3,5,1,1,Fully-Furnished,Apartment,N,217.24
Whitefield,1653,3,2,1,25,2,9,Semi-Furnished,Apartment,N,87.63
HSR Layout,1738,5,1,0,27,2,10,Fully-Furnished,Independent House,Y,98.63
Whitefield,1464,2,2,1,30,2,5,Unfurnished,Apartment,Y,73.27
Hebbal,1528,3,4,1,25,2,3,Fully-Furnished,Apartment,N,99.87
HSR Layout,3674,4,5,2,17,1,4,Unfurnished,Independent House,Y,228.86
Yelahanka,3516,3,1,0,21,1,6,Unfurnished,Independent House,N,160.41
Bannerghatta Road,738,1,1,1,18,3,9,Semi-Furnished,Apartment,Y,49.65
Sarjapur Road,2065,1,4,1,26,3,4,Unfurnished,Apartment,Y,107.03
Indiranagar,2854,1,1,3,20,7,10,Fully-Furnished,Apartment,N,290.43
HSR Layout,640,5,1,3,16,1,1,Unfurnished,Apartment,Y,32.56
Malleshwaram,2513,4,3,1,26,1,1,Fully-Furnished,Apartment,Y,144.26
HSR Layout,1105,2,2,0,0,6,6,Unfurnished,Independent House,N,54.12
Yelahanka,619,3,4,1,24,5,5,Semi-Furnished,Apartment,Y,24.88
Bannerghatta Road,4572,1,3,1,20,7,8,Fully-Furnished,Independent House,N,259.1
Indiranagar,2921,3,2,1,5,1,7,Fully-Furnished,Apartment,Y,281.61
Malleshwaram,1220,3,5,3,8,1,3,Fully-Furnished,Apartment,Y,121.69
Kengeri,2631,4,2,0,30,5,5,Fully-Furnished,Apartment,N,149.08
Malleswaram,3840,2,3,1,29,1,7,Unfurnished,Apartment,Y,252.23
Malleshwaram,3453,5,5,0,16,6,8,Fully-Furnished,Independent House,N,252.15
Whitefield,2225,5,1,3,9,2,3,Semi-Furnished,Independent House,N,96.38
Indiranagar,4631,4,2,2,24,2,4,Fully-Furnished,Apartment,N,296.78
Marathahalli,1257,2,2,1,16,9,9,Fully-Furnished,Apartment,N,93.36
Indiranagar,3769,2,2,1,19,1,1,Semi-Furnished,Independent House,N,200.06
Yelahanka,4750,2,1,3,30,3,3,Semi-Furnished,Apartment,N,276.35
Electronic City,2044,5,4,2,30,1,1,Semi-Furnished,Apartment,N,112.85
Jayanagar,2399,3,5,0,1,1,5,Fully-Furnished,Apartment,N,246.41
Hebbal,4664,1,2,2,23,1,1,Unfurnished,Independent House,Y,331.25
Sarjapur Road,1350,3,4,3,15,1,8,Fully-Furnished,Independent House,N,87.11
Bellandur,1178,3,1,3,19,7,10,Fully-Furnished,Independent House,Y,92.86
Kengeri,2327,2,5,1,29,6,7,Fully-Furnished,Apartment,Y,165.96
BTM Layout,711,1,2,1,15,9,9,Unfurnished,Apartment,N,49.97
Ulsoor,1532,2,5,0,30,2,7,Fully-Furnished,Apartment,Y,93.34
Yelahanka,3203,5,5,3,27,1,4,Unfurnished,Apartment,Y,184.51
Hebbal,817,1,4,2,16,3,4,Fully-Furnished,Independent House,Y,55.84
Malleswaram,1270,1,4,1,10,4,9,Unfurnished,Apartment,N,91.84
Indiranagar,3808,1,5,2,30,1,1,Fully-Furnished,Independent House,Y,384.68
JP Nagar,4948,4,4,2,27,1,3,Fully-Furnished,Apartment,N,385.22
HSR Layout,4244,3,1,1,0,4,5,Unfurnished,Independent House,N,232.09
Bannerghatta Road,1748,1,4,2,4,4,8,Fully-Furnished,Apartment,Y,86.27
JP Nagar,1212,3,2,2,15,1,4,Fully-Furnished,Apartment,N,51.2
Rajajinagar,2633,5,2,2,20,1,1,Unfurnished,Independent House,N,194.04
Bannerghatta Road,1473,2,4,0,28,1,3,Unfurnished,Independent House,N,105.51
Hebbal,2510,5,2,1,10,9,9,Fully-Furnished,Apartment,N,182.55
Hebbal,3357,1,1,1,28,4,8,Semi-Furnished,Apartment,N,227.93
Indiranagar,3958,4,1,1,12,2,2,Semi-Furnished,Independent House,Y,306.16
BTM Layout,3726,2,5,1,11,5,8,Fully-Furnished,Apartment,Y,266.92
HSR Layout,1683,5,2,1,3,5,7,Fully-Furnished,Independent House,Y,68.96
Yelahanka,3733,5,1,1,5,3,4,Unfurnished,Apartment,Y,244.2
Bannerghatta Road,2356,2,3,2,12,3,5,Fully-Furnished,Independent House,Y,178.34
Basavanagudi,3832,1,4,1,19,1,6,Semi-Furnished,Apartment,N,254.68
Malleshwaram,3278,1,5,2,0,6,7,Fully-Furnished,Independent House,N,247.54
Sarjapur Road,733,2,4,1,20,4,4,Unfurnished,Independent House,Y,35.88
Marathahalli,4756,4,5,1,24,1,1,Semi-Furnished,Apartment,Y,253.36
Malleshwaram,1169,5,5,1,16,1,5,Unfurnished,Apartment,Y,85.01
Yelahanka,1336,4,4,0,21,3,4,Unfurnished,Independent House,N,78.32
Indiranagar,2236,4,1,0,13,6,10,Fully-Furnished,Apartment,N,231.11
Malleswaram,2875,2,1,1,19,3,8,Unfurnished,Independent House,Y,180.78
Indiranagar,3210,4,2,3,18,1,1,Semi-Furnished,Independent House,Y,211.6
Ulsoor,1765,3,4,3,25,7,8,Fully-Furnished,Independent House,Y,72.25
Electronic City,2873,2,4,3,1,7,7,Unfurnished,Independent House,N,193.53
Electronic City,4391,2,2,1,8,3,3,Semi-Furnished,Independent House,Y,345.64
Sarjapur Road,2549,3,3,3,6,5,6,Semi-Furnished,Apartment,N,148.58
Indiranagar,1526,5,4,3,10,2,2,Semi-Furnished,Apartment,N,124.64
Basavanagudi,1244,5,5,2,24,1,1,Fully-Furnished,Apartment,Y,67.26
Kengeri,3697,4,4,3,26,1,10,Semi-Furnished,Independent House,N,266.3
Malleswaram,908,1,2,0,28,1,4,Unfurnished,Apartment,Y,62.88
Ulsoor,1234,5,4,3,3,4,7,Unfurnished,Independent House,Y,56.2
Sarjapur Road,1938,5,3,3,6,1,3,Semi-Furnished,Apartment,Y,94.26
BTM Layout,4509,2,1,0,3,6,7,Unfurnished,Apartment,N,271.05
Jayanagar,2719,1,1,2,15,2,5,Unfurnished,Independent House,N,181.86
BTM Layout,2684,5,3,1,15,5,5,Semi-Furnished,Independent House,N,174.29
Indiranagar,2449,3,2,2,8,9,9,Unfurnished,Independent House,N,197.3
Indiranagar,1834,3,3,1,23,6,9,Semi-Furnished,Apartment,Y,183.68
Koramangala,1730,4,4,2,20,3,3,Fully-Furnished,Independent House,Y,166.57
Sarjapur Road,3327,5,1,3,18,10,10,Fully-Furnished,Independent House,N,235.07
BTM Layout,700,2,5,3,30,2,3,Unfurnished,Independent House,Y,42.48
Hebbal,2352,4,1,2,8,1,1,Unfurnished,Apartment,N,95.67
Indiranagar,1402,3,3,0,3,5,10,Semi-Furnished,Apartment,N,93.22
Basavanagudi,3493,3,5,1,3,4,7,Unfurnished,Independent House,N,202.5
Electronic City,3376,1,1,0,12,1,1,Unfurnished,Independent House,N,254.18
Jayanagar,3584,4,3,3,30,1,1,Fully-Furnished,Independent House,Y,198.81
Sarjapur Road,1566,4,3,0,20,1,1,Semi-Furnished,Independent House,N,93.45
Rajajinagar,4765,2,5,0,14,1,1,Fully-Furnished,Independent House,N,288.51
BTM Layout,3380,1,3,1,16,4,4,Semi-Furnished,Independent House,N,155.75
Basavanagudi,4227,5,1,3,18,4,5,Unfurnished,Independent House,Y,219.12
Rajajinagar,1167,1,1,3,3,4,5,Unfurnished,Apartment,N,87.84
Yelahanka,2835,4,4,0,4,4,9,Unfurnished,Independent House,Y,118.53
Rajajinagar,2172,5,5,1,15,1,3,Semi-Furnished,Independent House,N,159.55
Yelahanka,1074,5,1,1,4,2,3,Semi-Furnished,Apartment,Y,84.88
BTM Layout,2736,4,1,1,4,6,10,Semi-Furnished,Independent House,Y,175.12
Electronic City,3305,1,4,0,27,3,4,Unfurnished,Independent House,N,222.34
Sarjapur Road,3693,5,3,1,6,6,10,Unfurnished,Independent House,Y,222.22
BTM Layout,4727,3,2,3,29,1,5,Fully-Furnished,Apartment,N,308.94
Electronic City,3067,2,1,3,7,2,8,Semi-Furnished,Apartment,Y,147.37
HSR Layout,2007,1,2,3,12,8,10,Fully-Furnished,Independent House,Y,82.46
Malleshwaram,3050,4,2,1,14,6,6,Semi-Furnished,Independent House,N,264.84
Koramangala,857,4,3,2,6,1,4,Semi-Furnished,Apartment,N,70.24
Yelahanka,3002,5,3,0,4,2,2,Fully-Furnished,Apartment,Y,204.69
Jayanagar,777,1,4,3,3,1,10,Fully-Furnished,Independent House,N,47.88
Bannerghatta Road,3773,1,4,0,1,5,9,Fully-Furnished,Apartment,N,242.53
Electronic City,982,5,5,3,13,2,4,Fully-Furnished,Apartment,Y,68.61
HSR Layout,3177,4,5,0,23,5,8,Semi-Furnished,Apartment,Y,253.88
Koramangala,680,1,4,3,22,2,9,Unfurnished,Independent House,N,38.91
Basavanagudi,4833,2,5,1,4,1,1,Semi-Furnished,Independent House,Y,204.37
BTM Layout,882,1,1,0,25,9,9,Semi-Furnished,Independent House,Y,68.77
Jayanagar,2323,2,4,0,28,6,8,Unfurnished,Independent House,N,195.53
BTM Layout,3166,2,5,2,1,1,5,Unfurnished,Independent House,Y,149.97
Rajajinagar,2497,1,5,3,30,2,3,Fully-Furnished,Independent House,Y,137.9
HSR Layout,2138,3,3,0,16,5,9,Fully-Furnished,Independent House,N,156.86
Malleswaram,3218,1,5,3,4,1,4,Fully-Furnished,Apartment,N,151.99
Indiranagar,955,3,2,3,29,1,1,Unfurnished,Independent House,Y,80.46
Malleswaram,4987,5,1,0,12,2,3,Semi-Furnished,Apartment,N,267.17
Ulsoor,2271,2,1,1,5,1,9,Semi-Furnished,Apartment,Y,158.58
HSR Layout,4860,3,2,2,24,3,4,Unfurnished,Apartment,Y,283.29
Jayanagar,4457,1,2,1,12,4,7,Unfurnished,Apartment,Y,436.2
Ulsoor,1225,2,2,1,18,9,9,Fully-Furnished,Apartment,N,73.23
Malleshwaram,2394,3,2,1,9,3,4,Semi-Furnished,Apartment,Y,152.58
Sarjapur Road,3349,1,2,1,23,1,4,Unfurnished,Apartment,Y,202.84
Whitefield,2296,4,5,0,7,3,9,Unfurnished,Apartment,Y,107.45
Sarjapur Road,3722,5,5,1,14,1,1,Semi-Furnished,Independent House,N,235.42
Bellandur,2216,3,1,0,28,1,2,Unfurnished,Apartment,N,107.6
HSR Layout,3106,2,4,2,29,4,4,Semi-Furnished,Apartment,N,238.62
Whitefield,4885,1,3,3,24,7,7,Semi-Furnished,Apartment,N,308.84
Sarjapur Road,4003,1,3,0,15,1,1,Semi-Furnished,Independent House,N,213.28
Yelahanka,4892,1,3,1,17,1,2,Unfurnished,Apartment,Y,233.53
JP Nagar,2065,2,4,0,29,2,4,Unfurnished,Independent House,N,108.64
JP Nagar,3506,1,1,0,1,3,6,Unfurnished,Independent House,Y,230.46
Jayanagar,4321,2,3,3,25,1,2,Fully-Furnished,Apartment,N,369.12
Rajajinagar,1211,2,4,0,1,2,3,Semi-Furnished,Apartment,N,82.68
Malleshwaram,3504,1,3,1,13,2,6,Unfurnished,Independent House,N,259.68
Bellandur,3731,2,2,1,11,3,9,Semi-Furnished,Apartment,N,272.69
Basavanagudi,1926,1,3,1,28,5,7,Fully-Furnished,Apartment,Y,132.57
Whitefield,3183,5,5,2,19,4,6,Semi-Furnished,Independent House,Y,232.56
BTM Layout,4930,3,4,0,9,6,6,Fully-Furnished,Apartment,Y,370.18
HSR Layout,2400,2,4,0,23,3,4,Unfurnished,Apartment,Y,119.4
Koramangala,2084,2,5,1,19,2,7,Unfurnished,Apartment,Y,152.91
Hebbal,2223,4,3,2,6,1,5,Unfurnished,Apartment,Y,134.72
Bannerghatta Road,4318,4,1,3,21,2,8,Unfurnished,Independent House,Y,266.26
Bannerghatta Road,1410,1,4,1,12,6,10,Semi-Furnished,Independent House,N,99.05
Basavanagudi,3925,5,1,1,17,1,4,Unfurnished,Independent House,N,195.87
Bannerghatta Road,1960,4,5,2,22,3,6,Fully-Furnished,Apartment,N,117.06
Bellandur,4403,3,5,2,16,2,3,Semi-Furnished,Independent House,Y,321.3
BTM Layout,3121,4,4,0,11,1,9,Fully-Furnished,Apartment,Y,220.68
Indiranagar,3984,2,4,1,1,1,7,Fully-Furnished,Independent House,N,394.06
Bannerghatta Road,3486,3,2,1,4,3,6,Unfurnished,Apartment,Y,149.34
Hebbal,4658,5,4,0,11,5,10,Fully-Furnished,Apartment,Y,296.52
Bellandur,1196,2,2,2,29,1,3,Unfurnished,Independent House,Y,53.49
Jayanagar,3355,2,5,3,4,3,3,Fully-Furnished,Apartment,Y,285.54
Whitefield,4670,3,5,1,21,1,3,Semi-Furnished,Apartment,Y,301.35
Indiranagar,2033,4,2,3,17,7,10,Fully-Furnished,Apartment,N,161.16
Indiranagar,2037,4,4,1,11,2,2,Fully-Furnished,Independent House,N,151.06
Basavanagudi,3308,1,1,0,6,6,7,Fully-Furnished,Independent House,Y,260.27
Rajajinagar,2370,4,2,1,26,2,9,Fully-Furnished,Independent House,N,161.94
Yelahanka,885,2,5,1,24,1,1,Semi-Furnished,Independent House,Y,66.77
Koramangala,3190,3,3,0,1,7,7,Unfurnished,Apartment,Y,306.98
Jayanagar,3901,3,3,0,16,2,5,Semi-Furnished,Apartment,N,272.08
Indiranagar,4476,5,1,1,23,4,6,Semi-Furnished,Independent House,Y,252.07
Electronic City,1951,1,3,3,25,1,1,Semi-Furnished,Independent House,N,121.81
HSR Layout,4193,5,4,3,15,3,4,Semi-Furnished,Apartment,N,313.45
Kengeri,1024,5,3,0,19,6,6,Unfurnished,Apartment,Y,77.1
Indiranagar,4676,5,1,3,1,1,7,Fully-Furnished,Independent House,Y,328.6
Basavanagudi,2716,3,1,2,24,1,4,Semi-Furnished,Apartment,Y,189.92
BTM Layout,4534,3,4,3,0,4,9,Unfurnished,Independent House,N,252.65
Bannerghatta Road,2330,1,5,1,3,5,7,Semi-Furnished,Independent House,Y,146.7
BTM Layout,1850,5,1,0,9,5,7,Unfurnished,Independent House,N,94.39
Bannerghatta Road,2729,4,5,2,9,5,8,Semi-Furnished,Independent House,Y,152.14
JP Nagar,1587,4,5,2,12,1,1,Semi-Furnished,Apartment,Y,93.14
Bellandur,1106,5,1,2,27,1,2,Fully-Furnished,Apartment,N,71.75
JP Nagar,1763,3,4,1,8,1,2,Fully-Furnished,Apartment,Y,134.1
Rajajinagar,1083,4,2,2,23,2,5,Unfurnished,Independent House,Y,72.45
HSR Layout,1100,2,2,2,27,9,10,Semi-Furnished,Independent House,N,76.58
Whitefield,3652,2,2,0,11,9,9,Unfurnished,Independent House,Y,209.03
Kengeri,2542,3,3,1,20,6,7,Semi-Furnished,Apartment,N,135.94
BTM Layout,3882,2,3,1,29,1,7,Unfurnished,Apartment,N,296.21
Rajajinagar,4414,5,5,0,26,2,4,Unfurnished,Independent House,Y,205.01
Malleshwaram,1543,4,4,3,6,1,8,Fully-Furnished,Apartment,Y,108.54
Indiranagar,4262,2,5,2,5,6,6,Unfurnished,Apartment,N,334.58
Bannerghatta Road,697,3,3,0,27,10,10,Semi-Furnished,Independent House,Y,40.96
Yelahanka,1090,1,1,0,27,7,9,Semi-Furnished,Independent House,N,71.01
Koramangala,918,4,2,2,15,1,3,Unfurnished,Independent House,N,51.32
Yelahanka,2112,1,4,0,15,1,9,Semi-Furnished,Independent House,Y,152.37
Marathahalli,4480,3,4,1,18,2,10,Fully-Furnished,Independent House,N,321.29
Bellandur,4514,1,3,0,12,1,2,Semi-Furnished,Independent House,N,188.8
Hebbal,2791,1,2,1,24,1,6,Fully-Furnished,Independent House,Y,221.34
HSR Layout,4879,2,2,0,28,1,6,Semi-Furnished,Apartment,N,376.71
Marathahalli,2350,3,4,3,14,6,10,Fully-Furnished,Apartment,Y,159.86
HSR Layout,1630,1,2,0,4,1,1,Fully-Furnished,Apartment,N,71.29
Rajajinagar,1631,4,2,0,22,1,4,Unfurnished,Independent House,Y,87.35
Malleshwaram,4800,2,3,1,6,3,8,Fully-Furnished,Apartment,N,340.97
Jayanagar,3231,1,1,3,22,4,6,Semi-Furnished,Apartment,Y,184.41
Malleshwaram,3231,1,2,0,29,4,10,Semi-Furnished,Independent House,Y,292.7
Indiranagar,4600,2,4,0,4,9,9,Fully-Furnished,Apartment,Y,447.93
Malleswaram,2515,1,2,3,9,4,8,Fully-Furnished,Apartment,N,177.06
Marathahalli,3744,4,3,0,29,1,1,Fully-Furnished,Independent House,N,207.07
Electronic City,4608,1,2,2,5,7,10,Semi-Furnished,Independent House,Y,367.13
Yelahanka,713,4,2,3,9,7,8,Semi-Furnished,Independent House,N,34.15
Jayanagar,3144,5,3,2,15,5,9,Unfurnished,Apartment,Y,326.96
HSR Layout,1757,2,3,1,3,7,8,Fully-Furnished,Apartment,N,119.42
Rajajinagar,756,5,2,1,10,1,2,Unfurnished,Independent House,Y,34.22
Koramangala,3391,1,2,0,1,1,1,Fully-Furnished,Independent House,Y,308.72
Koramangala,1957,3,1,0,1,2,9,Semi-Furnished,Apartment,N,165.94
JP Nagar,1557,2,4,3,1,1,4,Fully-Furnished,Apartment,N,76.6
Indiranagar,3750,4,5,3,4,3,6,Fully-Furnished,Apartment,N,351.88
Sarjapur Road,3426,3,3,1,9,2,7,Semi-Furnished,Independent House,N,145.16
Malleswaram,1562,1,3,3,8,9,9,Fully-Furnished,Independent House,N,70.46
Basavanagudi,1186,1,2,1,19,5,7,Unfurnished,Apartment,Y,79.58
Bannerghatta Road,1710,3,4,2,0,8,9,Unfurnished,Apartment,N,113.6
Malleswaram,2748,1,3,0,16,2,2,Fully-Furnished,Apartment,N,187.51
Malleswaram,3919,3,3,2,22,3,6,Fully-Furnished,Apartment,N,172.62
Malleshwaram,1669,1,2,1,15,3,3,Fully-Furnished,Independent House,Y,155.02
Yelahanka,1971,3,2,3,4,4,7,Semi-Furnished,Apartment,Y,141.7
Hebbal,919,4,4,3,27,3,4,Fully-Furnished,Independent House,N,44.87
Basavanagudi,1385,3,3,0,5,8,10,Unfurnished,Apartment,Y,102.62
Jayanagar,4492,5,4,1,18,3,9,Unfurnished,Apartment,Y,359.58
Whitefield,3499,3,1,2,7,7,7,Fully-Furnished,Independent House,N,189.91
Basavanagudi,2564,2,3,0,3,2,2,Fully-Furnished,Independent House,N,155.48
HSR Layout,4359,1,2,2,19,9,9,Unfurnished,Apartment,N,184.94
HSR Layout,4773,4,2,0,5,2,5,Unfurnished,Apartment,Y,375.6
HSR Layout,3257,4,1,2,25,5,7,Fully-Furnished,Apartment,N,211.35
BTM Layout,3760,5,5,0,12,2,3,Fully-Furnished,Independent House,N,199.11
Basavanagudi,4354,2,1,2,28,1,2,Fully-Furnished,Independent House,N,295.89
Sarjapur Road,4090,1,5,3,17,2,2,Unfurnished,Independent House,N,241.13
Kengeri,3215,5,2,3,0,1,1,Fully-Furnished,Independent House,N,207.28
Basavanagudi,3764,4,1,2,7,6,8,Fully-Furnished,Independent House,Y,237.83
Yelahanka,2284,3,3,2,3,7,7,Fully-Furnished,Independent House,Y,136.11
JP Nagar,1364,4,4,1,5,1,1,Unfurnished,Independent House,Y,56.39
Malleshwaram,2558,5,3,0,12,6,7,Semi-Furnished,Independent House,N,217.2
Hebbal,4389,2,1,1,25,8,9,Semi-Furnished,Independent House,N,214.28
Bellandur,1657,2,1,1,11,1,1,Unfurnished,Apartment,Y,74.39
Ulsoor,2060,4,5,3,29,8,10,Fully-Furnished,Apartment,Y,133.58
Sarjapur Road,1460,3,2,0,16,2,3,Unfurnished,Independent House,N,95.64
Rajajinagar,1559,5,5,3,14,1,1,Fully-Furnished,Apartment,Y,96.65
Whitefield,1982,1,3,2,27,7,7,Fully-Furnished,Independent House,Y,92.59
Yelahanka,3988,1,3,2,5,5,8,Semi-Furnished,Apartment,Y,168.02
BTM Layout,4236,3,3,0,27,9,10,Semi-Furnished,Apartment,Y,173.04
HSR Layout,623,5,3,2,14,5,7,Unfurnished,Independent House,Y,44.05
Bellandur,2574,5,2,0,0,3,5,Fully-Furnished,Apartment,N,164.43
Marathahalli,3194,3,5,0,0,5,7,Unfurnished,Independent House,Y,217.31
Indiranagar,686,3,2,1,16,2,4,Fully-Furnished,Apartment,Y,37.47
Koramangala,3295,4,2,1,30,4,10,Semi-Furnished,Apartment,Y,325.47
Bellandur,3361,4,4,0,13,6,8,Unfurnished,Independent House,N,176.69
